country,adm0_a3,tea_word_origin
Afghanistan,AFG,cha
Albania,ALB,cha
Algeria,DZA,cha
Angola,AGO,cha
Antarctica,ATA,insufficient data
Argentina,ARG,te
Armenia,ARM,te
Australia,AUS,te
Austria,AUT,te
Azerbaijan,AZE,cha
Bahamas (the),BHS,te
Bangladesh,BGD,cha
Belarus,BLR,cha
Belgium,BEL,te
Belize,BLZ,te
Benin,BEN,te
Bhutan,BTN,cha
Bolivia (Plurinational State of),BOL,te
Bosnia and Herzegovina,BIH,cha
Botswana,BWA,te
Brazil,BRA,cha
Brunei Darussalam,BRN,te
Bulgaria,BGR,cha
Burkina Faso,BFA,te
Burundi,BDI,te
Cambodia,KHM,te
Cameroon,CMR,te
Canada,CAN,te
Central African Republic (the),CAF,te
Chad,TCD,cha
Chile,CHL,te
China,CHN,cha
Colombia,COL,te
Congo (DCR),COD,te
Congo Republic,COG,te
Costa Rica,CRI,te
Croatia,HRV,cha
Cuba,CUB,te
Cyprus,CYP,cha
Cyprus North,CYN,cha
Czech Republic,CZE,cha
Denmark,DNK,te
Djibouti,DJI,cha
Dominican Republic (the),DOM,te
Ecuador,ECU,te
Egypt,EGY,cha
El Salvador,SLV,te
Equatorial Guinea,GNQ,te
Eritrea,ERI,cha
Estonia,EST,te
Eswatini,SWZ,te
Ethiopia,ETH,cha
Falkland Islands (the) [Malvinas],FLK,te
Fiji,FJI,te
Finland,FIN,te
France,FRA,te
French Southern Territories (the),ATF,te
Gabon,GAB,te
Gambia (the),GMB,te
Georgia,GEO,cha
Germany,DEU,te
Ghana,GHA,te
Greece,GRC,cha
Greenland,GRL,te
Guatemala,GTM,te
Guinea,GIN,te
Guinea-Bissau,GNB,cha
Guyana,GUY,te
Haiti,HTI,te
Honduras,HND,te
Hungary,HUN,te
Iceland,ISL,te
India,IND,cha
Indonesia,IDN,te
Iran (Islamic Republic of),IRN,cha
Iraq,IRQ,cha
Ireland,IRL,te
Israel,ISR,te
Italy,ITA,te
Ivory Coast,CIV,te
Jamaica,JAM,te
Japan,JPN,cha
Jordan,JOR,cha
Kazakhstan,KAZ,cha
Kenya,KEN,cha
Korea North,PRK,cha
Korea South,KOR,cha
Kosovo,KOS,te
Kuwait,KWT,cha
Kyrgyzstan,KGZ,cha
Lao People's Democratic Republic (the),LAO,cha
Latvia,LVA,te
Lebanon,LBN,cha
Lesotho,LSO,te
Liberia,LBR,te
Libya,LBY,cha
Lithuania,LTU,te
Luxembourg,LUX,te
Madagascar,MDG,te
Malawi,MWI,te
Malaysia,MYS,te
Mali,MLI,te
Mauritania,MRT,cha
Mexico,MEX,te
Moldova (the Republic of),MDA,cha
Mongolia,MNG,cha
Montenegro,MNE,cha
Morocco,MAR,cha
Mozambique,MOZ,cha
Myanmar,MMR,others
Namibia,NAM,te
Nepal,NPL,cha
Netherlands (the),NLD,te
New Caledonia,NCL,te
New Zealand,NZL,te
Nicaragua,NIC,te
Niger (the),NER,te
Nigeria,NGA,te
North Macedonia Republic,MKD,cha
Norway,NOR,te
Oman,OMN,cha
Pakistan,PAK,cha
Panama,PAN,te
Papua New Guinea,PNG,te
Paraguay,PRY,te
Peru,PER,te
Philippines (the),PHL,cha
Poland,POL,te
Portugal,PRT,cha
Puerto Rico,PRI,te
Qatar,QAT,cha
Romania,ROU,cha
Russian Federation (the),RUS,cha
Rwanda,RWA,te
Saudi Arabia,SAU,cha
Senegal,SEN,te
Serbia,SRB,cha
Sierra Leone,SLE,te
Slovakia,SVK,cha
Slovenia,SVN,cha
Solomon Islands,SLB,te
Somalia,SOM,cha
Somaliland,SOL,cha
South Africa,ZAF,te
Spain,ESP,te
Sri Lanka,LKA,te
Sudan (the),SDN,cha
Suriname,SUR,te
Sweden,SWE,te
Switzerland,CHE,te
Syria,SYR,cha
Taiwan (Province of China),TWN,cha
Tajikistan,TJK,cha
"Tanzania, United Republic of",TZA,cha
Thailand,THA,cha
Timor-Leste,TLS,cha
Togo,TGO,te
Trinidad and Tobago,TTO,te
Tunisia,TUN,cha
Turkey,TUR,cha
Turkmenistan,TKM,cha
Uganda,UGA,cha
Ukraine,UKR,cha
United Arab Emirates (the),ARE,cha
United Kindom,GBR,te
United States of America (the),USA,te
Uruguay,URY,te
Uzbekistan,UZB,cha
Vanuatu,VUT,te
Venezuela (Bolivarian Republic of),VEN,te
Vietnam,VNM,cha
Western Sahara,SAH,cha
Yemen,YEM,cha
Zambia,ZMB,te
Zimbabwe,ZWE,cha
